epoch,accuracy,loss,val_accuracy,val_loss
0,0.37641850113868713,1.3230655193328857,0.4495677351951599,1.276102066040039
1,0.6498754620552063,0.9831178784370422,0.6455331444740295,0.9505650401115417
2,0.7913091778755188,0.5897698998451233,0.7031700015068054,0.7495101094245911
3,0.8483254909515381,0.4215715229511261,0.7031700015068054,0.7559952735900879
4,0.872958779335022,0.3409031927585602,0.6887608170509338,0.7684546113014221
5,0.9067257046699524,0.27732306718826294,0.6829971075057983,0.8434355854988098
6,0.9177968502044678,0.229028582572937,0.6858789920806885,0.8892966508865356
7,0.9321893453598022,0.19886580109596252,0.6858789920806885,0.9693508744239807
8,0.9468585848808289,0.16896197199821472,0.6916426420211792,0.9783712029457092
9,0.9579296708106995,0.1446797102689743,0.6887608170509338,1.0500574111938477
10,0.9623581767082214,0.12872463464736938,0.7031700015068054,1.0904334783554077
11,0.9687240719795227,0.11017090827226639,0.6945244669914246,1.1572291851043701
12,0.9684472680091858,0.10062351077795029,0.6974063515663147,1.2194181680679321
13,0.972045361995697,0.09697447717189789,0.6829971075057983,1.251144528388977
14,0.972045361995697,0.09013312309980392,0.7002881765365601,1.291003704071045
15,0.973706066608429,0.08576083928346634,0.680115282535553,1.374140739440918
16,0.9753667116165161,0.07604090869426727,0.6887608170509338,1.3423140048980713
17,0.9753667116165161,0.08002253621816635,0.6829971075057983,1.3948196172714233
18,0.975643515586853,0.07515833526849747,0.6829971075057983,1.4381940364837646
19,0.976473867893219,0.07231705635786057,0.6887608170509338,1.4622522592544556
20,0.9767506122589111,0.07015614211559296,0.6714697480201721,1.4630658626556396
21,0.9773041605949402,0.06541404128074646,0.6829971075057983,1.49003267288208
22,0.9786880612373352,0.06562159955501556,0.6772334575653076,1.5303221940994263
23,0.9781345129013062,0.06735367327928543,0.680115282535553,1.5592058897018433
24,0.9809023141860962,0.05805627629160881,0.6743515729904175,1.5723187923431396
